Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20240109;5;19994;20348,213
20240109;6;21388;21300,300
20240109;7;24632;24175,838
20240109;8;25672;26406,225
20240109;9;26369;27561,588
20240109;10;26112;28271,500
20240109;11;25879;28303,875
20240109;12;25804;28049,563
20240109;13;25839;27796,150
20240109;14;26113;27664,425
20240109;15;25781;26987,150
20240109;16;26050;26769,225
20240109;17;26715;27442,200
20240109;18;26705;27610,113
20240109;19;26299;27336,863
20240109;20;26142;27115,963
20240109;21;25635;26573,200
20240109;22;24430;24968,225
20240109;23;22724;23410,425
20240109;24;21468;21910,700
20240110;1;20376;20830,663
20240110;2;19873;20301,888
20240110;3;19572;20091,350
20240110;4;19620;20145,788
20240110;5;20222;20592,375
20240110;6;21526;21542,638
20240110;7;24783;24493,650
20240110;8;25882;26538,013
20240110;9;26797;27582,713
20240110;10;26885;28118,138
20240110;11;26870;27983,738
20240110;12;26808;27927,725
20240110;13;26620;27685,400
20240110;14;26792;27423,350
20240110;15;26232;26824,013
20240110;16;26372;26790,438
20240110;17;26865;27384,538
20240110;18;26848;27456,563
20240110;19;26432;27136,400
20240110;20;26266;26989,200
20240110;21;25747;26167,325
20240110;22;24519;24611,338
20240110;23;22635;22920,000
20240110;24;21350;21523,325
20240111;1;20453;20543,563
20240111;2;19582;20019,513
20240111;3;19266;19752,263
20240111;4;19302;19785,688
20240111;5;19893;20182,413
20240111;6;21289;21080,163
20240111;7;24535;23842,925
20240111;8;25780;25809,888
20240111;9;26727;26795,475
20240111;10;26939;27366,250
20240111;11;27076;27464,088
20240111;12;27157;27557,850
20240111;13;27249;27569,463
20240111;14;27313;27337,025
20240111;15;26454;26726,238
20240111;16;26416;26457,725
20240111;17;26824;26960,738
20240111;18;26588;26888,413
20240111;19;26169;26504,013
20240111;20;26061;26297,025
20240111;21;25606;25589,600
20240111;22;24450;23947,513
20240111;23;22643;22192,663
20240111;24;21430;20877,888
20240112;1;20567;19765,875
20240112;2;19942;19273,313
20240112;3;19661;19031,650
20240112;4;19726;19061,000
20240112;5;20335;19514,088
20240112;6;21736;20517,350
20240112;7;24774;23333,300
20240112;8;26145;25281,963
20240112;9;27089;26278,375
20240112;10;27211;26765,100
20240112;11;26993;26899,763
20240112;12;26904;26983,800
20240112;13;26693;26790,550
20240112;14;26861;26810,938
20240112;15;25999;26240,375
20240112;16;25760;25987,725
20240112;17;26540;26376,575
20240112;18;26354;26454,113
20240112;19;25880;26028,075
20240112;20;25719;25583,225
20240112;21;25217;24816,213
20240112;22;23925;23374,525
20240112;23;22038;21843,825
20240112;24;20810;20606,825
20240113;1;19588;19526,713
20240113;2;18865;18702,613
20240113;3;18245;18261,538
20240113;4;18025;18137,063
20240113;5;18206;18265,513
20240113;6;18486;18437,288
20240113;7;19599;19301,838
20240113;8;20397;20307,963
20240113;9;21673;21531,213
20240113;10;22221;22796,588
20240113;11;22506;23506,988
20240113;12;22507;23785,063
20240113;13;22285;23896,438
20240113;14;22266;23825,363
20240113;15;21496;23154,500
20240113;16;21274;22834,238
20240113;17;21940;23249,600
20240113;18;21904;23127,413
20240113;19;21628;22841,275
20240113;20;21412;22400,013
20240113;21;20803;21845,813
20240113;22;19801;20744,213
20240113;23;18601;19549,163
20240113;24;17651;18385,225
20240114;1;16451;17352,638
20240114;2;15751;16714,925
20240114;3;15301;16311,250
20240114;4;15101;16109,475
20240114;5;15211;16141,575
20240114;6;15423;16223,588
20240114;7;15935;16679,125
20240114;8;16299;17254,400
20240114;9;17538;18013,763
20240114;10;18411;19215,238
20240114;11;19171;20084,025
20240114;12;19387;20568,375
20240114;13;19732;20932,413
20240114;14;19817;20924,025
20240114;15;19890;20633,788
20240114;16;19634;20350,638
20240114;17;20462;20773,038
20240114;18;20471;21013,750
20240114;19;20471;21088,950
20240114;20;20460;21021,613
20240114;21;20397;20427,300
20240114;22;19533;19539,850
20240114;23;18720;18658,375
20240114;24;17659;17727,538
20240115;1;16795;16969,100
20240115;2;16432;16416,538
20240115;3;16170;16269,350
20240115;4;16360;16390,525
20240115;5;16998;16929,513
20240115;6;18985;18301,688
20240115;7;22367;21543,613
20240115;8;23849;23665,813
20240115;9;24891;24882,325
20240115;10;25057;25518,713
20240115;11;25127;25439,300
20240115;12;25372;25562,300
20240115;13;25564;25902,463
20240115;14;25777;25905,750
20240115;15;25350;25460,888
20240115;16;25206;25162,575
20240115;17;25660;25627,575
20240115;18;25676;25506,863
20240115;19;25250;25236,238
20240115;20;25228;25025,500
20240115;21;24810;24408,700
20240115;22;23490;23037,825
20240115;23;21764;21572,650
20240115;24;20485;20210,313
20240116;1;19345;19025,538
